id,date,content,url,likes,retweets,reply_count,hashtags,media_type,media_url,media_path
s1567528243254657025,2022-09-07 15:00:31+00:00,Sink deeper into Fall. 🍎 Order the Iced Apple Crisp Oatmilk Macchiato today. https://t.co/yHBNWimGhj,https://twitter.com/Starbucks/status/1567528243254657025,748,103,59,,video,https://video.twimg.com/ext_tw_video/1567254912165199874/pu/vid/320x320/dTAirDf8vI1jys3y.mp4?tag=12,Starbucks_media/s1567528243254657025.mp4
s1565716317822386178,2022-09-02 15:00:34+00:00,Paint the city pumpkin with a PSL. 🎨🎃💚 https://t.co/BGxZHI0K9q,https://twitter.com/Starbucks/status/1565716317822386178,1485,160,84,,photo,https://pbs.twimg.com/media/FbqKm5xWAAQwnMh?format=jpg&name=large,Starbucks_media/s1565716317822386178.jpg
s1564599089043488768,2022-08-30 13:01:06+00:00,"Welcome back pumpkin. 🧡 For the love of Fall, order your Pumpkin Spice Latte or Pumpkin Cream Cold Brew now. https://t.co/MOTGx9zeC9",https://twitter.com/Starbucks/status/1564599089043488768,7071,1353,856,,photo,https://pbs.twimg.com/media/FbaQT5rXgAEs_pN?format=jpg&name=large,Starbucks_media/s1564599089043488768.jpg
s1564251546627489793,2022-08-29 14:00:05+00:00,Think you're Pumpkin Royalty? Dust off your emoji keyboard and show us what you got. 🎃🍂🧣☕️ Play now at https://t.co/nr46cWghYU https://t.co/lJBpSZ3UDM,https://twitter.com/Starbucks/status/1564251546627489793,1242,149,193,,photo,https://pbs.twimg.com/media/FbVUFlnXkAE_LTG?format=jpg&name=large,Starbucks_media/s1564251546627489793.jpg
s1555581942652968960,2022-08-05 15:50:11+00:00,"☀️ Grande Iced Shaken Espresso (100 cal)
☀️ Grande Iced Passion Tango® Tea (0 cal)
☀️ Grande Iced Black Tea Lemonade (50 cal)
☀️ Grande Mango Dragonfruit Starbucks Refreshers®  drink (90 cal)
☀️ Grande Pineapple Passionfruit Starbucks Refreshers® drink (100 cal) https://t.co/jAb86tQCk2",https://twitter.com/Starbucks/status/1555581942652968960,759,133,214,,photo,https://pbs.twimg.com/media/FZaJJ80XgAQhAjy?format=jpg&name=large,Starbucks_media/s1555581942652968960.jpg
s1549046343737507842,2022-07-18 15:00:02+00:00,"#DisabilityPride Month celebrates the heritage, activism and experiences of all people with disabilities. 💚

Join us as we build more inclusive, stronger communities with Deaf-REACH, a nonprofit providing services for Deaf and hard of hearing individuals. https://t.co/0Hu0ofbC9M https://t.co/ptUgGCPpxg",https://twitter.com/Starbucks/status/1549046343737507842,415,86,99,['DisabilityPride'],photo,https://pbs.twimg.com/media/FXvd4WJUYAI_iUN?format=jpg&name=large,Starbucks_media/s1549046343737507842.jpg
s1547959178966274049,2022-07-15 15:00:02+00:00,"Layers of yum, oodles of fun. 😋 Caramel Ribbon Crunch Frappuccino® Drink https://t.co/AIjacvg8wY",https://twitter.com/Starbucks/status/1547959178966274049,945,113,110,,photo,https://pbs.twimg.com/media/FXqGUQUVQAcoKbm?format=jpg&name=large,Starbucks_media/s1547959178966274049.jpg
s1545060073956728832,2022-07-07 15:00:02+00:00,It's 1C vibes for us today. How're you sippin? ☕️ https://t.co/SEDJjmggJX,https://twitter.com/Starbucks/status/1545060073956728832,1036,86,364,,photo,https://pbs.twimg.com/media/FXEkS4_VsAMmYSn?format=jpg&name=large,Starbucks_media/s1545060073956728832.jpg
s1542885739607777282,2022-07-01 15:00:00+00:00,Vacation mode: ON. 🏖 Head straight to your gate by ordering ahead at select Starbucks stores in US airports! ✈️ https://t.co/tltgJbD6zN,https://twitter.com/Starbucks/status/1542885739607777282,687,88,87,,photo,https://pbs.twimg.com/media/FWiAxfKXwAA5SKA?format=jpg&name=large,Starbucks_media/s1542885739607777282.jpg
s1542160966451732481,2022-06-29 15:00:01+00:00,Add a pop of color to your summer. ☀️ Available at participating US stores while supplies last. https://t.co/7RBjqad5dJ,https://twitter.com/Starbucks/status/1542160966451732481,338,46,40,,video,https://video.twimg.com/ext_tw_video/1542147234632015873/pu/pl/HKhcytVSaadwq8IP.m3u8?tag=12&container=fmp4,Starbucks_media/s1542160966451732481.mp4
